		eng	acu	afr	ake	alb	amu	ara	arm	baq	bsn	bul	cak	ceb	cha	chi	chq	chr	chu	cjp	cni	cop	crp	cze	dan	deu	dik	dje	dop	epo	est	ewe	fin	fra	gbi	glv	got	grc	gre	guj	hin	hrv	hun	ind	isl	ita	jak	jap	jiv	kab	kbh	kor	lat	lav	lit	mam	mao	mar	mya	nep	nhg	nld	nor	ojb	pck	pes	plt	pol	por	pot	ppk	quc	quw	rom	rum	rus	shi	slk	slv	sna	som	spa	srp	ssw	swe	syr	tel	tgl	tha	tmh	tur	ukr	usp	wal	wol	xho	zul
470	b.JOH.1.48a	when	NULL	toe	tai	kur	quia	NULL	երբ	NULL	je	NULL	tek	diha	NULL	NULL	nitǿˈˋ	NULL	NULL	NA	noneitaquempi	NULL	lè	NULL	medens	da	waan	waato	NULL	kiam	kui	NULL	kun	quand	NULL	tra	NA	NULL	φωναξη	NULL	जब	dok	izráelita	NULL	NULL	quando	yet	ピリポがあなたを呼ぶ前に	untsurmatsain	mi	ora	때에	cum	NULL	kai	tej	NULL	ह	NULL	NULL	ijcuac	toen	NULL	ᑭᑮᐙᐸᒥᓐ	laiin	حینی	NULL	gdyś	quando	NA	NULL	NULL	cayajllaira	kana	cînd	когда	llig	NULL	ko	akudana	markaad	cuando	kad	NULL	där	ܟܕ	ప	nang	เม	assaɣa	NULL	як	cuando	NULL	bi	NULL	NULL
471	b.JOH.2.3a	when	NULL	toe	tai	NULL	jnda	ولما	երբ	cenean	NULL	NULL	chanin	na	anae	NULL	lajeeˇ	ꭹꭶꭸꮓ	NULL	NA	ari	ⲉⲧⲁϥⲙⲟⲩⲛⲕ	lè	když	da	da	wen	waato	ɩlɛna	kiam	kui	esi	kun	ayant	kagena	tra	NA	καὶ	επειδη	ય	NULL	kad	NULL	ketika	er	frattempo	lahwilo	NULL	NULL	imi	NULL	NULL	NULL	kad	NULL	tej	i	ह	အခ	पछ	ijcuac	NULL	da	ᐊᐲᔥ	huan	وچون	rehefa	gdy	tendo	NA	bula	NULL	NULL	kana	cînd	как	llig	keď	ko	yakati	markii	como	kad	NULL	NULL	NULL	నప	nang	เม	as	NULL	як	cuando	NULL	NULL	kuthe	kwathi
472	b.JOH.2.9a	when	NULL	toe	NULL	mbasi	quia	فلما	երբ	eta	na	като	xu	ug	anae	NULL	mɨ	NULL	NULL	NA	NULL	ⲇⲉ	NULL	jakž	da	als	wen	NULL	ɩlɛna	kiam	kui	NULL	kun	quand	NULL	tra	NA	δὲ	δε	ય	जब	kad	NULL	maka	NULL	NULL	hayet	NULL	NULL	NULL	chora	NULL	NULL	kad	NULL	teˈ	no	ह	NULL	NULL	NULL	NULL	da	NULL	huan	چون	raha	gdy	quando	NA	oti	aretak	NULL	kana	dupăce	когда	llig	NULL	ko	zvino	markuu	cuando	kad	NULL	och	ܘܟܕ	ప	nang	เม	as	NULL	як	NULL	NULL	noonu	kaloku	NULL
473	b.JOH.2.10a	when	NULL	wanneer	tai	kur	quia	ومتى	երբ	NULL	na	като	tek	diha	yaguin	NULL	mɨ	ꮏꮙꮓ	егда	NA	NULL	ⲉϣⲱⲡ	apre	když	når	wenn	te	waati	kɔma	kiam	kui	ne	kun	après	qabolo	tra	NA	ὅταν	αφου	ય	जब	kad	mikor	kalau	er	quando	yet	NULL	NULL	mi	ora	NULL	cum	kad	kai	ajtzin	ka	व	အခ	NULL	ijcuac	als	når	NULL	NULL	چون	rehefa	gdy	quando	NA	damo	aretak	huasha	kana	după	когда	sun	keď	ko	kana	markay	cuando	kad	wakisha	när	ܘܡܐ	నప	kung	และเม	as	NA	як	cuando	guyyiyan	ga	xa	kuthi
474	b.JOH.2.15a	when	NULL	NULL	NULL	si	quia	NULL	NULL	NULL	na	NULL	tek	NULL	ya	NULL	mɨ	ꭶꮹꮝꮫꮒꮝꮧꮓ	NULL	NA	ari	NULL	NULL	NULL	og	und	NULL	NULL	NULL	farinte	NULL	enumake	NULL	NULL	gila	tra	NA	NULL	NULL	ય	NULL	NULL	NULL	NULL	þá	NULL	hayet	NULL	NULL	NULL	ora	NULL	cum	NULL	NULL	tej	NULL	ह	NULL	ल	ijcuac	NULL	og	ᐸᔕᔐᐃᑲᓐ	huan	NULL	NULL	NULL	tendo	NA	NULL	aretak	NULL	kana	NULL	NULL	NULL	NULL	NULL	NULL	NULL	después	NULL	NULL	då	NULL	NULL	NULL	เม	ələkkud	NULL	джгута	cuando	NULL	noonu	NULL	wayesenza
475	b.JOH.2.22a	when	NULL	NULL	tai	kur	jnda	فلما	երբ	NULL	bero	когато	tek	NULL	anae	NULL	mɨ	ꮏꮙ	гда	NA	NULL	ϩⲟⲧⲉ	lè	když	da	da	ɣɔn	waato	waatʋ	kiam	kui	esi	kun	lorsqu	NULL	tra	NA	ὅτε	οτε	NULL	जब	pošto	mikor	sesudah	þegar	quando	hayet	NULL	NULL	asmi	ora	NULL	cum	kad	NULL	NULL	NULL	व	NULL	पछ	ijcuac	toen	NULL	NULL	NULL	وقتی	rehefa	gdy	quando	NA	NULL	aretak	NULL	NULL	cînd	когда	llig	NULL	ko	NULL	markuu	cuando	kad	NULL	när	ܟܕ	తర	nang	นเม	as	NULL	як	cuando	NULL	bi	ke	kuthe
476	b.JOH.2.23a	when	nunia	toe	NULL	kur	NULL	ولما	երբ	NULL	NULL	NULL	tek	sa	ya	候	lajeeˇ	NULL	егда	NA	areetapaaja	NULL	pandan	když	da	als	ɣɔn	saaya	mpʋ	kiam	kui	NULL	kun	que	orasi	tra	NA	ὡς	ενω	NULL	जब	dok	mint	sementara	meðan	mentre	yet	NULL	jesus	mi	NULL	NULL	cum	kad	NULL	NULL	NULL	ह	NULL	पछ	ijcuac	NULL	mens	ᐊᐲ	laiin	هنگامی	nony	gdy	estando	NA	bula	aretak	NULL	NULL	cînd	когда	llig	keď	ko	nguva	markuu	mientras	kad	NULL	medan	ܟܕ	NULL	nang	เม	as	NULL	як	cuando	NULL	bi	NULL	kwathi
477	b.JOH.2.23b	when	nunia	toe	NULL	kur	NULL	ولما	երբ	NULL	NULL	NULL	tek	sa	ya	候	lajeeˇ	NULL	егда	NA	areetapaaja	NULL	pandan	když	da	als	ɣɔn	saaya	mpʋ	kiam	kui	NULL	kun	que	orasi	tra	NA	ὡς	ενω	NULL	जब	dok	mint	sementara	meðan	mentre	yet	NULL	jesus	mi	NULL	NULL	cum	kad	NULL	NULL	NULL	ह	NULL	पछ	ijcuac	NULL	mens	ᐊᐲ	laiin	هنگامی	nony	gdy	estando	NA	bula	aretak	NULL	NULL	cînd	когда	llig	keď	ko	nguva	markuu	mientras	kad	NULL	medan	ܟܕ	NULL	nang	เม	as	NULL	як	cuando	NULL	bi	NULL	kwathi
478	b.JOH.3.4a	when	NULL	as	NULL	kur	jnda	NULL	NULL	denean	to	NULL	ri	NULL	yaguin	NULL	NULL	ꮏꮙ	члвкъ	NA	NULL	NULL	fwa	NULL	når	wenn	te	kaŋ	tɛma	kiam	kui	ne	eihän	quand	de	tra	NA	γέρων	NULL	ય	जब	kad	ha	NULL	þegar	quando	NULL	NULL	NULL	iɛiwed	ora	NULL	cum	NULL	būdamas	bˈeˈx	mai	व	သည	NULL	NULL	NULL	når	NULL	nungin	که	rehefa	będąc	sendo	NA	NULL	NULL	NULL	kana	NULL	будучи	NULL	keď	ko	NULL	NULL	si	kad	NULL	när	NULL	NULL	kung	NULL	as	yaşlanmış	бувши	cuando	NULL	NULL	NULL	NULL
479	b.JOH.4.1a	when	ainau	toe	NULL	kur	NULL	فلما	երբ	çuenean	to	NULL	NULL	NULL	anae	NULL	mɨ	NULL	егда	NA	NULL	ϩⲟⲧⲉ	NULL	jakž	da	da	wen	NULL	NULL	kiam	kui	NULL	kun	NULL	NA	tra	NA	ὡς	καθως	ર	जब	kad	amint	NULL	er	quando	NULL	NULL	jesus	NULL	NULL	NULL	NULL	kad	NULL	NULL	ka	NULL	NULL	ल	NULL	dat	da	NULL	a	چون	rehefa	gdy	quando	NA	NULL	NULL	NULL	NULL	NULL	когда	NULL	NULL	ko	NULL	kolkii	cuando	kad	NULL	NULL	NULL	నప	nang	นเม	as	NULL	як	NULL	wode	bés	NULL	kwathi
480	b.JOH.4.21a	when	jeatak	wanneer	NULL	që	nlaˈtˈmaaⁿˈndye	NULL	երբ	noiz	cojoru	NULL	tek	na	NULL	候	nilɨlíˈˆnaˈ	ꮎꭿᏻ	егда	NA	NULL	ϩⲟⲧⲉ	lè	kdyžto	da	daß	NULL	kaŋ	ɣʋ	kiam	mil	NULL	jolloin	où	orasi	tra	NA	ὅτε	οτε	ય	NULL	kad	mikor	waktu	að	cui	yet	わたしの言うことを信じなさい	tsawant	m	chora	NULL	quando	kad	kada	NULL	NULL	व	သ	जब	ijcuac	dat	da	ᐊᐲ	hun	که	NULL	gdy	que	NA	NULL	aretak	NULL	NULL	cînd	когда	NULL	keď	ko	nguva	markii	cuando	kad	ambapo	då	ܕܐܬܝܐ	NULL	NULL	เวลาหน	NULL	NULL	коли	NULL	aawaayyo	ne	ntokazindini	lapho
481	b.JOH.4.23a	when	kinta	wanneer	NULL	NULL	NULL	حين	երբ	noiz	acõari	NULL	tek	na	NULL	了	NULL	NULL	егда	NA	ari	ϩⲟⲧⲉ	NULL	kdyžto	da	daß	NULL	NULL	tɛma	kiam	NULL	NULL	jolloin	où	orasi	NULL	NA	ὅτε	οτε	ય	समय	kad	amikor	NULL	er	cui	yet	NULL	tsawant	yewwed	ora	진정으로	quando	kad	kai	NULL	NULL	व	အခ	जब	ijcuac	w	da	ᐊᐲ	chiangin	که	raha	gdy	que	NA	u	aretak	imahoras	kana	cînd	когда	aškin	keď	ko	yatovapo	markii	cuando	kad	wakati	då	ܐܡܬܝ	వచ	sasambahin	NULL	osa	tapınanların	NULL	cuando	NULL	noppi	xa	lapho
482	b.JOH.4.25a	when	ainau	wanneer	tai	kur	quia	فمتى	երբ	dathorrenean	ejacõari	NULL	tek	inig	yaguin	NULL	mɨ	NULL	егда	NA	irareetapeemparica	ⲉϣⲱⲡ	lè	když	når	wenn	te	d	kɔma	kiam	kui	ne	kun	quand	orasi	tra	NA	ὅταν	οταν	NULL	जब	kad	mikor	kalau	þegar	quando	hayet	NULL	NULL	asm	orna	NULL	cum	kad	atėjęs	aj	ka	ह	အခ	जब	ijcuac	dat	når	ᐊᐲ	chiangin	هنگامی	rehefa	gdy	quando	NA	ane	aretak	NULL	kana	cînd	когда	akud	keď	kadar	kana	markuu	cuando	kad	NULL	när	ܘܡܐ	నప	pagparito	เม	as	NULL	як	cuando	wode	bu	xa	nxa
483	b.JOH.4.40a	when	ainau	toe	tai	kur	jnda	فلما	երբ	bada	NULL	NULL	NULL	paghiduol	anae	NULL	mɨ	NULL	егда	NA	NULL	ϩⲟⲧⲉ	lè	když	nu	nun	wen	waato	waatʋ	kiam	kui	esi	kun	quand	NULL	tra	NA	ὡς	καθως	NULL	जब	kad	NULL	ketika	þegar	quando	hayet	NULL	NULL	mi	ora	NULL	cum	kad	atėję	tej	no	ह	NULL	NULL	ijcuac	toen	nu	ᐊᐲ	NULL	چون	rehefa	gdy	pois	NA	NULL	aretak	NULL	NULL	cînd	когда	llig	keď	ko	zvino	markii	cuando	kad	NULL	sedan	ܘܟܕ	NULL	nang	นเม	as	NULL	як	cuando	wode	NULL	akufika	ukuba
484	b.JOH.4.45a	when	NULL	toe	tai	kur	NULL	فلما	երբ	NULL	NULL	исус	tek	pag	anae	NULL	mɨ	NULL	егда	NA	ari	ϩⲟⲧⲉ	lè	když	da	da	wen	waato	waatʋ	kiam	kui	esi	kun	lorsqu	orasi	tra	NA	ὡς	οτε	ય	जब	kad	mikor	waktu	þegar	quando	hayet	NULL	NULL	mi	NULL	NULL	cum	kad	kai	tej	i	व	အခ	जब	ijcuac	NULL	NULL	ᐊᐲ	laia	چون	rehefa	gdy	que	NA	karata	aretak	jesús	kana	cînd	когда	llig	keď	ko	wakati	markuu	cuando	kad	NULL	när	ܟܕ	నప	nang	นเม	as	zaman	як	cuando	wode	bi	xenikweni	kuthe
485	b.JOH.4.47a	when	jesús	toe	tai	kur	quia	اذ	երբ	haur	NULL	NULL	tek	sa	anae	NULL	mɨ	NULL	NULL	NA	NULL	ⲫⲁⲓ	lè	NULL	da	und	te	waato	ɩlɛna	kiam	kui	esi	kun	ayant	kagena	tra	NA	NULL	NULL	ય	NULL	kad	mikor	ketika	þegar	NULL	yet	NULL	NULL	mi	ora	NULL	cum	NULL	NULL	tok	no	NULL	NULL	NULL	ijcuac	NULL	da	ᐊᐲ	huan	وچون	rehefa	NULL	quando	NA	NULL	aretak	NULL	kana	slujbaşul	NULL	llig	keď	ko	wakati	markuu	cuando	NULL	basi	när	NULL	NULL	nang	เม	as	NULL	NULL	cuando	NULL	bi	lithe	NULL
486	b.JOH.4.52a	when	tinamtai	waarop	NULL	NULL	NULL	NULL	NULL	NULL	NULL	когато	tek	kanus	NULL	候	mɨ	NULL	NULL	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	kiam	mil	NULL	NULL	NULL	de	NULL	NA	NULL	ην	ય	NULL	kad	NULL	NULL	hvenær	avesse	NULL	NULL	NULL	NULL	ntseco	NULL	NULL	kad	NULL	teˈ	no	व	NULL	NULL	ijcuac	wanneer	da	ᐊᐲ	lai	NULL	NULL	NULL	NULL	NA	hangkuja	NULL	imahorasta	NULL	care	NULL	NULL	ktorú	obkore	NULL	NULL	que	NULL	alipopata	NULL	NULL	నప	nang	งเวลาท	NULL	NULL	коли	NULL	NULL	NULL	NULL	NULL
487	b.JOH.4.54a	when	tsuwaru	toe	tʉpo	kur	NULL	لما	գալուց	cenean	na	исус	tek	ni	anae	NULL	mɨ	NULL	NULL	NA	itasoncantaque	NULL	lè	NULL	da	da	te	waato	naalɛɣɛlɛ	veninte	kui	esi	tultuaan	lorsqu	orasi	tra	NA	NULL	αφου	ય	यह	NULL	mikor	setelah	þegar	NULL	lahwi	NULL	NULL	mi	chora	후	cum	NULL	NULL	tej	i	NULL	သည	पछ	ijcuac	toen	da	NULL	NULL	وقتی	fony	NULL	ao	NA	karata	aretak	NULL	kana	după	NULL	llig	prijdúc	ko	NULL	markuu	cuando	kad	NULL	sedan	ܟܕ	NULL	nang	เม	as	NULL	NULL	cuando	NULL	bi	NULL	asenza
488	b.JOH.5.6a	when	NULL	toe	NULL	duke	NULL	NULL	երբ	ceçanean	acõari	NULL	tek	NULL	anae	NULL	mɨ	NULL	NULL	NA	NULL	ⲇⲉ	NULL	NULL	da	da	wen	kaŋ	ɩlɛna	kiam	kui	esi	kun	ayant	ato	tra	NA	NULL	ιδων	NULL	नकर	kad	a	NULL	NULL	NULL	hayet	NULL	NULL	mi	ora	NULL	cum	NULL	NULL	tej	no	ह	NULL	ल	ijcuac	NULL	da	NULL	huan	چون	raha	gdy	NULL	NA	NULL	aretak	NULL	kana	cînd	NULL	llig	keď	ko	wakati	markii	cuando	kad	NULL	då	NULL	NULL	nang	เม	NULL	NULL	NULL	cuando	NULL	bi	NULL	NULL
489	b.JOH.5.7a	when	NULL	as	tai	kur	NULL	متى	երբ	NULL	na	NULL	tek	NULL	NULL	候	mɨ	ᏸꮩꮀ	егда	NA	oshevajaveta	ⲁϥϣⲁⲛⲑⲟϩ	lè	když	når	wenn	te	waati	waatʋ	kiam	kui	ne	kun	quand	orasi	tra	NA	ὅταν	οταν	ય	जब	kad	mikor	waktu	þegar	quando	hayet	NULL	NULL	m	ora	때에	cum	kad	NULL	ajtzin	ina	ज	အခ	ल	ijcuac	als	når	ᐊᐲ	huan	NULL	raha	gdy	ao	NA	nto	aretak	NULL	kana	cînd	когда	akud	keď	kadar	kana	markii	cuando	kad	wakati	när	ܕܡܐ	నప	maglusong	เม	NULL	zaman	як	cuando	wode	bi	xa	nxa
490	b.JOH.5.25a	when	kinta	wanneer	NULL	kur	quia	حين	երբ	noiz	i	и	NULL	na	NULL	候	tɨˊ	NULL	егда	NA	NULL	ϩⲟⲧⲉ	rive	kdyžto	da	daß	NULL	NULL	NULL	kiam	mil	eva	jolloin	où	orasi	tra	NA	ὅτε	οτε	ય	समय	kad	mikor	NULL	þegar	cui	yet	NULL	tsawant	yewwed	NULL	NULL	quando	kad	kada	kybˈinte	NULL	ल	NULL	ल	ijcuac	dat	da	ᐊᐲ	chiangin	NULL	NULL	gdy	que	NA	NULL	aretak	imahoras	kana	cînd	когда	uwssan	keď	ko	yatovapo	markii	cuando	kad	NULL	NULL	ܐܡܬܝ	NULL	NULL	กำหนดน	as	işitenlerin	почувши	cuando	wodee	noppi	xa	lapho
491	b.JOH.6.5a	when	NULL	toe	tai	NULL	NULL	NULL	NULL	cituenean	acõari	NULL	tek	sa	anae	NULL	lajeeˇ	NULL	NULL	NA	NULL	ⲉϣⲱⲡ	t	NULL	da	da	wen	NULL	NULL	NULL	kui	esi	kun	ayant	kagena	tra	NULL	NULL	NULL	NULL	NULL	NULL	mikor	waktu	NULL	NULL	yet	NULL	NULL	akken	NA	NULL	cum	kad	NULL	atzaj	no	NULL	NULL	NULL	NULL	toen	nu	NULL	huan	NULL	ary	NULL	NULL	NA	me	aretak	ricusha	NULL	NULL	NULL	NULL	keď	ko	wakati	intuu	cuando	NULL	NULL	nu	NULL	NULL	NULL	เม	iswad	NULL	NULL	NULL	NULL	bi	NULL	kuthe
492	b.JOH.6.11a	when	NULL	nadat	NULL	pasi	NULL	NULL	NULL	gratiac	acõari	NULL	tek	NULL	anae	NULL	mɨ	ꮪꭹꮢꭹ	же	NA	irosati	NULL	lè	NULL	og	und	te	waato	NULL	NULL	NULL	emegbe	NULL	NULL	kagena	tra	þan	ὁ	NULL	NULL	NULL	NULL	akarnak	sesudah	NULL	dopo	yet	NULL	NULL	nni	NA	후에	cum	NULL	NULL	NULL	ka	ह	NULL	NULL	ijcuac	toen	NULL	NULL	hun	NULL	rehefa	NULL	havendo	NA	NULL	aretak	NULL	NULL	NULL	NULL	NULL	NULL	ko	akazvipa	goortuu	habiendo	NULL	NULL	och	NULL	NULL	nang	และเม	as	NULL	оддавши	NULL	NULL	NULL	NULL	NULL
493	b.JOH.6.12a	when	NULL	nadat	tai	mbasi	jnda	فلما	երբ	eta	NULL	като	tek	na	anae	NULL	mɨ	NULL	ꙇ	NA	NULL	ϩⲟⲧⲉ	lè	když	da	da	wen	waato	waatʋ	kiam	kui	NULL	kun	lorsqu	NULL	tra	biþe	ὡς	αφου	ર	जब	kad	pedig	setelah	þegar	quando	hayet	NULL	NULL	mi	NA	NULL	autem	kad	kai	atzaj	no	ज	NULL	जब	ijcuac	toen	da	NULL	nung	چون	rehefa	gdy	quando	NA	NULL	aretak	NULL	kana	dupăce	когда	llig	keď	ko	zvino	markay	cuando	kad	NULL	när	ܘܟܕ	NULL	nang	เม	as	NULL	як	cuando	guyyiyan	bi	NULL	kuthe
494	b.JOH.6.14a	when	NULL	NULL	tai	kur	jnda	فلما	երբ	çutenean	acõari	NULL	tek	pagkakita	anae	見	mɨ	ꭴꮒꭺꮂ	NULL	NA	itasoncaquero	ϩⲟⲧⲉ	NULL	uzřevše	nu	NULL	te	NULL	waatʋ	kiam	kui	esi	kun	ayant	de	tra	gasaiƕandans	NULL	NULL	NULL	खकर	kad	NULL	ketika	þegar	NULL	yet	NULL	NULL	mi	NA	보고	cum	NULL	pamatę	tej	NULL	ह	NULL	ल	ijcuac	NULL	nu	NULL	NULL	چون	rehefa	ujrzawszy	vendo	NA	karahilo	aretak	NULL	NULL	cînd	NULL	llig	keď	ko	vakati	markay	cuando	videvši	walipoiona	NULL	NULL	ప	nang	เม	as	görünce	бачивши	cuando	wode	gisee	NULL	kwathi
495	b.JOH.6.15a	when	NULL	toe	NULL	por	NULL	NULL	երբ	NULL	to	NULL	ri	ni	n	既	NULL	ꮏꮙꮓ	NULL	NA	NULL	ⲇⲉ	NULL	NULL	da	da	te	waato	ɩlɛna	NULL	NULL	kpɔe	kun	et	NULL	tra	iþ	NULL	NULL	ર	नकर	kad	NULL	NULL	NULL	NULL	NULL	NULL	NULL	mi	NA	NULL	cum	bet	NULL	NULL	ka	ह	NULL	ल	quemaj	NULL	da	ᑕᔥ	a	چون	rehefa	NULL	NULL	NA	NULL	cˈut	NULL	NULL	fiindcă	NULL	NULL	keď	NULL	zvino	NULL	como	kad	NULL	när	NULL	NULL	nang	เม	as	NULL	як	NULL	NULL	NULL	uthe	NULL
496	b.JOH.6.16a	when	NULL	toe	tai	kur	quia	ولما	երբ	NULL	acõari	NULL	tek	NULL	anae	NULL	mɨ	ꭴꮢꮓ	ѣко	NA	NULL	ⲉⲧⲁ	lè	když	da	NULL	wen	waato	ɩlɛna	kiam	NA	NULL	kun	quand	NA	tra	swe	ὡς	καθως	NULL	जब	kad	mikor	ketika	þegar	NULL	yet	NULL	NULL	mi	NA	NULL	NULL	kad	atėjus	atzaj	no	NULL	အခ	ल	ijcuac	NULL	da	NULL	huan	چون	rehefa	gdy	ao	NA	NULL	aretak	NULL	kana	cînd	когда	llig	keď	ko	ava	markii	cuando	kad	ilipokuwa	när	ܘܟܕ	నప	nang	พอค	as	olunca	як	cuando	wode	bi	kuthe	NULL
497	b.JOH.6.19a	when	NULL	toe	tai	pasi	NULL	فلما	երբ	NULL	je	NULL	tek	NULL	anae	NULL	mɨ	ꮶꭲꭽꮓ	же	NA	ari	ⲉⲧⲁⲩⲟⲩⲉⲓ	lè	NULL	da	da	wen	waato	yesu	kiam	kui	esi	kun	après	NULL	tra	swe	ὡς	αφου	NULL	जब	pošto	mikor	sesudah	þegar	dopo	NULL	NULL	NULL	mi	NA	NULL	cum	kad	NULL	tpon	to	व	အခ	ल	ijcuac	nadat	da	ᐋᔕ	huan	وقتی	rehefa	gdy	NULL	NA	NULL	aretak	shamujpi	kana	după	NULL	NULL	NULL	ko	vakati	markay	cuando	NULL	NULL	när	ܘܟܕ	NULL	nang	เม	as	sonra	ж	cuando	NULL	bi	NULL	NULL
498	b.JOH.6.22a	when	NULL	NULL	NULL	NULL	NULL	لما	NULL	NULL	NULL	NULL	tek	NULL	n	NULL	mɨ	ꭴꮎꮩꮄꮀꮢ	оутрѣи	NA	NULL	ⲇⲉ	NULL	pak	NULL	daß	na	NULL	ɩlɛna	kiam	NULL	NULL	NULL	NULL	NA	tra	NULL	NULL	οτε	ય	NULL	NULL	NULL	NULL	NULL	dopo	yet	NULL	NULL	mi	NA	NULL	NULL	NULL	NULL	NULL	ka	NULL	NULL	ग	oquimatquej	NULL	NULL	NULL	a	NULL	nony	NULL	NULL	NA	NULL	NULL	NULL	kana	NULL	NULL	NULL	NULL	ko	ava	NULL	al	kad	wa	NULL	NULL	NULL	nang	เม	as	ertesi	NULL	NULL	NULL	NULL	NULL	NULL
499	b.JOH.6.24a	when	NA	toe	tʉuya	kur	quia	فلما	երբ	NULL	NA	когато	NULL	NULL	anae	NULL	mɨ	ꮏꮙ	егда	NA	NULL	ϩⲟⲧⲉ	lè	když	da	da	wen	waato	ɩlɛna	kiam	kui	esi	kun	ayant	orasi	tra	þan	ὅτε	οτε	NULL	जब	kada	mikor	ketika	NULL	quando	yet	NULL	NULL	mi	NA	NULL	cum	kad	NULL	tej	NULL	ह	NULL	NULL	ijcuac	toen	da	ᐊᐲ	NULL	چون	nony	gdy	quando	NA	NULL	aretak	NULL	kana	cînd	когда	llig	keď	ko	zvino	markii	cuando	kad	basi	när	ܘܟܕ	నప	nang	เม	as	NULL	побачивши	cuando	NULL	bi	ke	NULL
500	b.JOH.6.25a	when	NULL	toe	tai	kur	quia	ولما	երբ	NULL	NULL	NULL	tek	NULL	anae	既	mɨ	NULL	NULL	NA	NULL	ⲟⲩⲟϩ	NULL	NULL	da	da	wen	waato	kɔma	NULL	kui	esi	kun	ayant	NULL	tra	NULL	NULL	NULL	ર	NULL	kad	NULL	ketika	NULL	NULL	yet	NULL	NULL	mi	NA	NULL	cum	NULL	NULL	tej	no	NULL	အခ	ल	ijcuac	toen	da	ᐊᐲ	NULL	چون	rehefa	NULL	NULL	NA	karata	aretak	NULL	kana	cînd	NULL	llig	keď	ko	vakati	markay	cuando	NULL	NULL	då	ܘܟܕ	NULL	nang	NULL	NULL	NULL	NULL	cuando	wode	bi	NULL	kwathi
501	b.JOH.6.25b	when	NULL	toe	tai	kur	quia	ولما	երբ	NULL	NULL	NULL	tek	NULL	anae	既	mɨ	NULL	NULL	NA	NULL	ⲟⲩⲟϩ	NULL	NULL	da	da	wen	waato	kɔma	NULL	kui	esi	kun	ayant	NULL	tra	NULL	NULL	NULL	ર	NULL	kad	NULL	ketika	NULL	NULL	yet	NULL	NULL	mi	NA	NULL	cum	NULL	NULL	tej	no	NULL	အခ	ल	ijcuac	toen	da	ᐊᐲ	NULL	چون	rehefa	NULL	NULL	NA	karata	aretak	NULL	kana	cînd	NULL	llig	keď	ko	vakati	markay	cuando	NULL	NULL	då	ܘܟܕ	NULL	nang	NULL	NULL	NULL	NULL	cuando	wode	bi	NULL	kwathi
502	b.JOH.6.60a	when	NULL	toe	tai	kur	quia	اذ	երբ	gauça	NULL	като	tek	NULL	anae	見	mɨ	NULL	NULL	NA	yoamejeivetacariri	NULL	lè	NULL	da	NULL	te	waato	wei	NULL	kui	NULL	NULL	après	NULL	tra	gahausjandans	NULL	NULL	ય	NULL	NULL	NULL	sesudah	er	dopo	yet	NULL	NULL	mi	NA	NULL	NULL	NULL	NULL	tej	NULL	NULL	NULL	पछ	ijcuac	NULL	da	NULL	NULL	چون	nony	NULL	NULL	NA	NULL	aretak	caita	kana	după	слыша	llig	NULL	ko	vakati	markay	al	NULL	NULL	NULL	NULL	NULL	nang	นเม	as	NULL	слухавши	NULL	wode	bi	NULL	NULL
503	b.JOH.6.61a	when	NULL	en	NULL	NULL	NULL	NULL	երբ	NULL	na	а	tek	NULL	potgüiyaja	NULL	NULL	ꮏꮙꮓ	же	NA	NULL	ⲇⲉ	NULL	NULL	da	da	wen	NULL	NULL	NULL	NULL	kpɔe	kun	NULL	NULL	tra	iþ	δὲ	δε	ય	यह	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	mi	NA	NULL	NULL	dzirdēdami	NULL	NULL	ka	व	NULL	NULL	NULL	NULL	da	NULL	NULL	چون	ary	NULL	NULL	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	a	NULL	NULL	ܕܝܢ	NULL	t	เม	NULL	NULL	NULL	NULL	NULL	ne	kaloku	kepha
504	b.JOH.7.9a	when	NULL	nadat	NULL	NULL	jnda	NULL	երբ	eta	bero	NULL	tek	sa	anae	NULL	tɨˊ	NULL	NULL	NA	NULL	ⲇⲉ	apre	NULL	da	da	te	waato	ɩlɛna	NULL	kui	NULL	NULL	après	NULL	tra	þan	NULL	αφου	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yet	NULL	NULL	mi	NA	NULL	cum	to	NULL	tbˈajlinxiˈ	ka	NULL	အခ	पछ	ijcuac	NULL	da	ᐊᐲ	huan	چون	rehefa	NULL	havendo	NA	NULL	aretak	NULL	NULL	dupăce	сказав	NULL	keď	ko	wakati	markuu	habiendo	NULL	NULL	NULL	NULL	ప	nang	เม	as	NULL	NULL	cuando	NULL	bi	NULL	NULL
