	eng	acu	afr	ake	alb	amu	ara	arm	baq	bsn	bul	cak	ceb	cha	chi	chq	chr	chu	cjp	cni	cop	crp	cze	dan	deu	dik	dje	dop	epo	est	ewe	fin	fra	gbi	glv	got	grc	gre	guj	hin	hrv	hun	ind	isl	ita	jak	jap	jiv	kab	kbh	kor	lat	lav	lit	mam	mao	mar	mya	nep	nhg	nld	nor	ojb	pck	pes	plt	pol	por	pot	ppk	quc	quw	rom	rum	rus	shi	slk	slv	sna	som	spa	srp	ssw	swe	syr	tel	tgl	tha	tmh	tur	ukr	usp	wal	wol	xho	zul
b.LUK.15.6a	when	NULL	as	tai	kur	quia	NULL	NULL	ethorriric	NULL	като	tek	na	anae	NULL	mɨ	NULL	NULL	NA	NULL	NULL	lè	NULL	når	wenn	na	d	ɩlɛna	NULL	kui	ne	kun	NULL	qabolo	tra	qimands	ἐλθὼν	NULL	NULL	NULL	NULL	NULL	NULL	þegar	NULL	yet	NULL	tura	m	orna	NULL	NULL	NULL	sugrįžęs	aj	no	ह	အခ	जब	ijcuac	NA	når	NULL	huan	NULL	rehefa	przyszedłszy	chegando	NA	oti	aretak	pactamusha	kana	cînd	NULL	ig	keď	ko	kana	goortuu	cuando	došavši	NULL	när	NULL	NULL	NULL	เม	NA	NA	NULL	cuando	NULL	boo	akufika	NULL
b.LUK.15.9a	when	NULL	as	tai	kur	jnda	واذا	երբ	NULL	NULL	като	tek	na	yanguin	NULL	mɨ	ꭲᏻꮓ	NULL	NA	NULL	ⲉϣⲱⲡ	lè	když	når	wenn	te	waato	ɩlɛna	NULL	kui	ne	NULL	lorsqu	orasi	tra	NULL	NULL	αφου	ય	जब	kad	ha	waktu	er	dopo	lahwi	そして	NULL	mi	ora	NULL	cum	to	NULL	aj	no	ह	NULL	जब	ijcuac	NULL	når	ᐊᐲ	huan	چون	raha	NULL	NULL	NA	NULL	aretak	NULL	kana	ce	NULL	akud	keď	ko	kana	markay	cuando	NULL	NULL	när	ܘܡܐ	నప	pagka	เม	NA	NULL	NULL	cuando	wode	bu	NULL	ukuba
b.LUK.15.14a	when	NULL	toe	NULL	si	jnda	فلما	երբ	çuenean	NULL	като	tek	NULL	anae	既	mɨ	ꮏꮙꮓ	же	NA	ari	NULL	lè	když	da	da	wen	waato	ɩlɛna	kiam	kui	NULL	kun	lorsqu	orasi	tra	biþe	NULL	αφου	ય	जब	kad	minekutána	ketika	er	quando	hayet	NULL	NULL	mi	orna	NULL	postquam	kad	kai	atzaj	no	व	အခ	NULL	ijcuac	toen	da	ᐊᐲ	takin	چون	rehefa	gdy	havendo	NA	oti	aretak	NULL	kana	NULL	когда	NULL	keď	ko	wakati	goortuu	cuando	kad	alipomaliza	sedan	ܘܟܕ	తర	nang	เม	NA	sonra	як	NULL	guyyiyan	bi	NULL	NULL
b.LUK.15.17a	when	NULL	NULL	NULL	NULL	quia	NULL	NULL	NULL	NULL	като	tek	na	anae	NULL	lajeeˇ	NULL	NULL	NA	NULL	ⲉⲧⲁ	lè	NULL	NULL	da	wen	waato	NULL	NULL	kui	NULL	NULL	étant	kagena	tra	þan	NULL	ελθων	ય	जब	NULL	mikor	NULL	nú	NULL	lahwi	NULL	NULL	NULL	NULL	NULL	NULL	bet	NULL	NULL	no	NULL	အခ	NULL	NULL	NULL	da	ᐊᐲ	huan	NULL	raha	NULL	caindo	NA	ka	NULL	NULL	kana	NULL	NULL	NULL	NULL	ko	wakati	goortuu	entonces	kad	NULL	då	ܘܟܕ	నప	nang	เม	NA	NULL	NULL	NULL	NULL	NULL	kaloku	kuthe
b.LUK.15.20a	when	NULL	toe	a	kur	quia	واذ	մինչ	hura	NULL	когато	tek	samtang	NULL	見	mɨ	NULL	NULL	NA	ari	NULL	lè	když	da	da	wen	za	NULL	kiam	kui	NULL	kun	comme	de	tra	þan	δὲ	ενω	ર	NULL	dok	mikor	NULL	er	NULL	NULL	NULL	NULL	akken	ora	NULL	cum	NULL	NULL	tej	NULL	NULL	အခ	जब	ijcuac	op	da	NULL	huan	NULL	raha	gdy	estando	NA	NULL	NULL	ricusha	NULL	cînd	когда	NULL	keď	ko	wakati	NULL	cuando	kad	NULL	medan	NULL	నప	samantalang	เม	NA	NULL	NULL	cuando	NULL	bi	kaloku	kuthe
b.LUK.16.4a	when	NULL	wanneer	NULL	kur	jnda	اذا	երբ	NULL	na	като	tek	na	yanguin	NULL	mɨ	NULL	егда	NA	NULL	ϩⲟⲧⲁⲛ	lè	když	når	wenn	te	waato	kɔma	kiam	kui	NULL	kun	quand	NULL	tra	biþe	ὅταν	οταν	ર	जब	kad	mikor	apabila	þegar	quando	NULL	NULL	NULL	m	ora	NULL	cum	kad	kai	NULL	NULL	ह	သ	जब	ijcuac	als	når	ᐊᐲ	chiangin	وقتی	rehefa	gdy	quando	NA	NULL	aretak	NULL	kana	cînd	когда	ig	keď	kadar	kana	goortii	cuando	kad	NULL	när	ܕܡܐ	నప	kung	NULL	NA	zaman	як	cuando	wode	ba	xa	nxa
b.LUK.16.9a	when	ainau	wanneer	tai	kur	quia	اذا	երբ	çaiteztenean	bero	защото	tek	na	yanguin	候	mɨ	NULL	егда	NA	impoiji	ϩⲟⲧⲁⲛ	lè	když	når	wenn	na	waato	kɔma	kiam	NULL	ne	kun	quand	orasi	tra	þan	ὅταν	οταν	ય	जब	kad	mikor	apabila	þegar	quand	hayet	NULL	NULL	asm	ora	때에	cum	kad	atėjus	ajtzin	NULL	व	အခ	जब	ijcuac	als	når	ᐊᐲ	NULL	چون	rehefa	gdy	quando	NA	ane	aretak	NULL	kana	cînd	когда	akud	keď	kadar	kana	goortuu	cuando	kad	NULL	när	ܕܡܐ	నప	kung	NULL	NA	olunca	як	cuando	wode	bu	xa	kuthi
b.LUK.17.7a	when	umisar	as	a	kur	quia	اذا	NULL	NULL	NULL	NULL	xu	inig	yanguin	NULL	mɨ	NULL	NULL	NA	NULL	NULL	lè	když	når	wenn	te	d	NULL	kiam	NULL	NULL	NULL	quand	orasi	tra	NULL	NULL	αφου	ય	जब	NULL	mihelyt	apabila	þegar	quando	NULL	NULL	NULL	m	NULL	NULL	NULL	kad	NULL	NULL	NULL	NULL	အခ	जब	NULL	waar	når	ᐊᐲ	a	وقتی	raha	gdyby	ao	NA	NULL	aretak	NULL	kana	cînd	NULL	ig	keď	kadar	NULL	goortuu	al	kad	NULL	när	NULL	నప	NULL	เม	NA	NULL	як	cuando	NULL	NULL	akungena	NULL
b.LUK.17.10a	when	NULL	wanneer	NULL	kur	quia	متى	NULL	NULL	acõari	когато	tek	na	yanguin	完	mɨ	ꮏꮙ	егда	NA	NULL	NULL	lè	když	når	wenn	na	waato	kɔma	kiam	NULL	nenye	kun	quand	NULL	tra	þan	ὅταν	οταν	NULL	जब	kad	ha	kalau	er	quando	lahwi	NULL	NULL	m	ora	NULL	cum	kad	NULL	aj	NULL	व	NULL	जब	ijcuac	als	når	ᐊᐲ	NULL	چون	rehefa	gdy	quando	NA	ane	aretak	huasha	kana	dupăce	когда	llig	keď	kadar	kana	goortaad	cuando	kad	NULL	när	ܡܐ	NULL	pagka	เม	NA	NULL	коли	cuando	wode	noppi	xa	nxa
b.LUK.17.14a	when	NULL	toe	tai	si	quia	NULL	NULL	NULL	acõari	като	tek	sa	anae	NULL	mɨ	NULL	NULL	NA	ari	NULL	lè	NULL	da	da	wen	waato	ɩlɛna	NULL	NULL	esi	NULL	qu	orasi	tra	NULL	NULL	NULL	ય	NULL	kad	mikor	waktu	er	appena	hayet	NULL	NULL	mi	ora	NULL	NULL	to	NULL	atzaj	NULL	ह	NULL	जब	ijcuac	NULL	da	NULL	huan	NULL	raha	NULL	logo	NA	NULL	NULL	NULL	kana	cînd	NULL	llig	keď	ko	wakati	goortuu	cuando	NULL	NULL	när	ܘܟܕ	ప	NULL	เม	NA	NULL	NULL	NULL	NULL	naka	ke	kuthe
b.LUK.17.15a	when	NULL	toe	NULL	si	quia	لما	երբ	çuenean	NULL	като	tek	sa	anae	NULL	mɨ	NULL	NULL	NA	ari	NULL	NULL	NULL	da	da	te	waato	ɩlɛna	NULL	NULL	NULL	kun	NULL	de	tra	þan	NULL	NULL	ય	NULL	NULL	mikor	ketika	er	NULL	hayet	NULL	NULL	yuɣal	ora	NULL	NULL	NULL	NULL	tej	NULL	व	NULL	जब	ijcuac	NULL	da	NULL	huan	چون	raha	NULL	NULL	NA	NULL	aretak	NULL	kana	cînd	NULL	llig	NULL	ko	wakati	goortuu	al	NULL	NULL	när	ܟܕ	NULL	nang	เม	NA	NULL	NULL	cuando	NULL	NULL	NULL	NULL
b.LUK.17.20a	when	NULL	toe	tai	kur	NULL	ولما	NULL	içanic	NULL	исус	NULL	kanus	anae	NULL	NULL	NULL	же	NA	ari	NULL	NULL	NULL	da	da	NULL	NULL	ɣʋ	kiam	kui	NULL	kun	quand	de	tra	þan	δὲ	NULL	ર	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	melmi	NULL	때에	NULL	NULL	NULL	NULL	NULL	व	NULL	NULL	NULL	NULL	da	ᐋᓇᐲ	huan	چون	nony	będąc	sendo	NA	hangkuja	aretak	NULL	NULL	NULL	быв	aškin	keď	ko	wakati	NULL	cuando	kad	wakati	då	ܘܟܕ	నప	kailan	NULL	NA	NULL	як	or	aude	kañ	kaloku	NULL
b.LUK.17.20b	when	NULL	toe	tai	kur	NULL	ولما	NULL	içanic	NULL	исус	NULL	kanus	anae	NULL	NULL	NULL	же	NA	ari	NULL	NULL	NULL	da	da	NULL	NULL	ɣʋ	kiam	kui	NULL	kun	quand	de	tra	þan	δὲ	NULL	ર	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	melmi	NULL	때에	NULL	NULL	NULL	NULL	NULL	व	NULL	NULL	NULL	NULL	da	ᐋᓇᐲ	huan	چون	nony	będąc	sendo	NA	hangkuja	aretak	NULL	NULL	NULL	быв	aškin	keď	ko	wakati	NULL	cuando	kad	wakati	då	ܘܟܕ	నప	kailan	NULL	NA	NULL	як	or	aude	kañ	kaloku	NULL
b.LUK.17.22a	when	NULL	wanneer	NULL	kur	NULL	NULL	NULL	NULL	NULL	когато	tek	NULL	NULL	NULL	mɨ	ꮎꭿᏻ	егда	NA	NULL	ϩⲟⲧⲉ	lè	NULL	da	daß	NULL	kaŋ	ɩlɛna	kiam	mil	esi	jolloin	où	NULL	NULL	þan	ὅτε	οτε	NULL	NULL	kad	mikor	setelah	að	cui	NULL	NULL	NULL	NULL	chora	NULL	quando	kad	kai	NULL	NULL	NULL	အခ	जब	ijcuac	dat	da	ᐊᐲ	NULL	که	NULL	NULL	NULL	NA	NULL	NULL	imahoras	kana	cînd	когда	tz	keď	ko	NULL	goortaad	cuando	kad	NULL	då	NULL	చ	NULL	NULL	NA	NULL	що	NULL	NULL	NULL	NULL	lapho
b.LUK.17.30a	when	ainau	wanneer	tai	kur	NULL	NULL	երբ	NULL	to	когато	tek	na	yanguin	NULL	tɨˊ	ꮎꭿᏻ	ньже	NA	NULL	NULL	lè	když	da	wenn	NULL	kaŋ	NULL	kiam	mil	esime	jona	où	NULL	NULL	NULL	ὁ	ην	ય	NULL	kad	NULL	NULL	er	cui	yet	NULL	jeamtai	asm	ora	NULL	NULL	kad	kai	aj	NULL	NULL	NULL	जब	ijcuac	en	da	ᐊᐲ	a	که	NULL	którego	que	NA	karata	NULL	NULL	kana	cînd	когда	NULL	NULL	ko	NULL	NULL	que	kad	NULL	då	NULL	NULL	na	NULL	NA	NULL	NULL	cuando	NULL	bu	NULL	NULL
b.LUK.18.8a	when	ainau	as	tai	kur	quia	متى	երբ	NULL	NA	ако	tek	inig	anae	NULL	mɨ	NULL	NULL	NA	NULL	NULL	lè	když	når	wenn	na	waati	waatʋ	kiam	NULL	nenye	kun	quand	orasi	tra	qimands	ἐλθὼν	οταν	ય	जब	kad	mikor	apabila	þegar	quando	yet	しかし	tura	asm	ora	때에	NULL	atnācis	atėjęs	aj	ka	ह	အခ	जब	ijcuac	als	når	ᐊᐲ	chiangin	چون	raha	gdy	quando	NA	ane	aretak	NULL	kana	cînd	придя	NULL	keď	kadar	kana	goortuu	cuando	kad	wakati	när	NULL	నప	pagparito	เม	NA	zaman	ж	cuando	wode	bu	akufika	nxa
b.LUK.18.15a	when	NULL	toe	tai	kur	quia	فلما	երբ	hori	acõari	защото	NULL	NULL	anae	見	mɨ	NULL	NULL	NA	NULL	NULL	lè	NULL	da	da	te	waato	ɩlɛna	NULL	NULL	NULL	NULL	NULL	de	tra	þan	NULL	ιδοντες	NULL	NULL	NULL	mikor	ketika	NULL	NULL	yet	NULL	NULL	mi	ora	NULL	cum	kad	NULL	bˈeˈx	no	ह	အခ	जब	ijcuac	dat	da	NULL	un	چون	raha	gdy	NULL	NA	we	NULL	NULL	kana	cînd	NULL	llig	keď	NULL	vakati	goortii	al	kad	NULL	när	NULL	NULL	nang	NULL	NA	NULL	NULL	cuando	NULL	bi	NULL	NULL
b.LUK.18.22a	when	NULL	toe	tai	si	quia	فلما	երբ	hori	i	като	tek	ni	anae	見	mɨ	NULL	NULL	NA	NULL	NULL	lè	NULL	da	da	wen	kaŋ	ɩlɛna	kaj	kui	NULL	kun	ayant	NULL	tra	þan	NULL	NULL	ય	NULL	NULL	NULL	setelah	þegar	NULL	hayet	NULL	NULL	mi	ora	NULL	NULL	NULL	NULL	tej	NULL	व	NULL	जब	ijcuac	NULL	da	NULL	huan	چون	rehefa	NULL	quando	NA	NULL	NULL	NULL	kana	cînd	NULL	llig	keď	ko	NULL	goortuu	al	kad	NULL	när	ܟܕ	NULL	nang	เม	NA	NULL	NULL	cuando	NULL	bi	oko	NULL
b.LUK.18.23a	when	nuna	toe	tai	kur	quia	فلما	երբ	hura	NULL	като	tek	sa	anae	見	mɨ	ꮎꮝꭹꮓ	NULL	NA	NULL	NULL	NULL	NULL	da	da	te	waato	ɩlɛna	NULL	NULL	esi	NULL	lorsqu	kagena	tra	NULL	NULL	NULL	ય	NULL	kad	NULL	ketika	er	NULL	hayet	NULL	NULL	mi	ora	NULL	NULL	to	NULL	tej	ka	ह	သ	जब	ijcuac	toen	da	NULL	NULL	چون	rehefa	NULL	NULL	NA	NULL	aretak	shinajpi	kana	cînd	NULL	llig	NULL	ko	wakati	goortuu	al	kad	NULL	när	ܟܕ	NULL	nang	เม	NA	NULL	NULL	cuando	wode	bi	ke	kuthe
b.LUK.18.24a	when	NULL	toe	NULL	kur	quia	فلما	երբ	NULL	acõari	като	tek	si	anae	見	mɨ	NULL	же	NA	NULL	NULL	NULL	NULL	da	da	wen	kaŋ	ɩlɛna	NULL	NULL	esi	kun	NULL	NULL	tra	þan	NULL	NULL	ય	NULL	NULL	mikor	NULL	NULL	quando	hayet	NULL	nekáa	mi	ora	NULL	NULL	NULL	NULL	bˈeˈx	ka	ह	NULL	जब	ijcuac	na	da	ᐊᐲ	NULL	چون	raha	gdy	NULL	NA	NULL	NULL	NULL	kana	NULL	NULL	NULL	keď	ko	zvino	goortuu	NULL	kad	NULL	nu	ܘܟܕ	NULL	NULL	เม	NA	NULL	NULL	cuando	NULL	NULL	NULL	NULL
b.LUK.18.40a	when	NULL	toe	tai	kur	quia	ولما	երբ	NULL	acõari	като	tek	NULL	anae	NULL	mɨ	ꮏꮙꮓ	же	NA	ari	NULL	lè	když	da	da	te	waato	ɩlɛna	kiam	kui	NULL	NULL	quand	NULL	tra	NULL	δὲ	αφου	NULL	जब	kad	mikor	ketika	er	quando	hayet	NULL	tura	mi	ora	NULL	cum	kad	NULL	tpon	no	ह	NULL	जब	ijcuac	NULL	da	ᐊᐲ	NULL	چون	rehefa	gdy	tendo	NA	karata	aretak	NULL	kana	după	когда	llig	keď	ko	NULL	goortuu	cuando	kad	NULL	när	ܘܟܕ	NULL	nang	เม	NA	NULL	як	cuando	NULL	bi	ke	NULL
b.LUK.18.43a	when	NULL	toe	NULL	kur	quia	اذ	NULL	NULL	NULL	като	ri	NULL	anae	NULL	ie	NULL	NULL	NA	NULL	NULL	lè	NULL	da	NULL	te	kaŋ	ɩlɛna	NULL	NULL	NULL	NULL	NULL	orasi	tra	NULL	NULL	NULL	NA	NULL	NULL	NULL	ketika	er	NULL	NULL	NULL	NULL	mi	ora	NULL	NULL	to	NULL	tej	no	NULL	NULL	NA	NA	hadden	NULL	ᐊᐲ	NULL	چون	raha	NULL	NULL	NA	NULL	aretak	NULL	kana	cînd	NULL	llig	NULL	ko	vakati	goortay	al	NULL	NULL	NULL	NULL	ప	NULL	และเม	NA	NULL	NULL	NULL	NULL	noonu	oko	lapho
b.LUK.19.5a	when	pujamtai	toe	tai	kur	quia	فلما	երբ	NULL	NULL	като	tek	paghiabut	anae	NULL	NULL	NULL	ѣко	NA	ari	ⲉⲧⲁϥⲓ	lè	když	da	als	wen	waato	NULL	kiam	kui	esi	NULL	lorsque	orasi	tra	biþe	ὡς	ως	ર	जब	kad	mikor	ketika	er	quando	hayet	NULL	NULL	mi	ora	NULL	cum	kad	kai	atzaj	no	ह	NULL	जब	ijcuac	toen	da	ᐊᐲ	huan	چون	rehefa	gdy	quando	NA	NULL	NULL	NULL	kana	cînd	когда	llig	jako	ko	zvino	goortuu	cuando	kad	basi	när	ܘܟܕ	నప	nang	เม	NA	NULL	як	cuando	NULL	bi	NULL	NULL
b.LUK.19.7a	when	NULL	toe	NULL	kur	quia	فلما	երբ	NULL	NULL	като	tek	sa	anae	見	mɨ	NULL	NULL	NA	NULL	NULL	lè	NULL	da	da	wen	waato	ɩlɛna	NULL	NULL	NULL	NULL	NULL	orasi	tra	NULL	NULL	NULL	ય	NULL	NULL	mikor	NULL	er	NULL	hayet	NULL	NULL	mi	ora	NULL	cum	NULL	NULL	tej	to	व	NULL	NULL	ijcuac	NULL	da	NULL	NULL	چون	raha	NULL	ao	NA	NULL	NULL	NULL	kana	cînd	NULL	llig	NULL	ko	NULL	goortay	al	kad	NULL	NULL	ܟܕ	ప	nang	เม	NA	NULL	NULL	cuando	NULL	NULL	NULL	kuthe
b.LUK.19.15a	when	apu	toe	NULL	kur	jnda	ولما	NULL	NULL	NULL	като	tek	sa	anae	NULL	mɨ	NULL	егда	NA	NULL	NULL	NULL	když	da	da	wen	waato	ɩlɛna	kiam	kui	NULL	NULL	après	NULL	tra	NULL	NULL	αφου	ર	जब	kad	mikor	NULL	NULL	NULL	yet	NULL	kapitián	mi	orna	NULL	NULL	NULL	NULL	NULL	NULL	व	အခ	जब	ijcuac	nadat	da	NULL	NULL	چون	NULL	gdy	ao	NA	NULL	aretak	NULL	kana	cînd	когда	ig	keď	ko	wakati	goortuu	cuando	kad	baada	när	ܘܟܕ	నప	nang	NULL	NA	NULL	як	NULL	NULL	ba	NULL	NULL
b.LUK.19.28a	when	NULL	toe	NULL	mbasi	jnda	ولما	երբ	gauça	NULL	като	tek	NULL	anae	NULL	mɨ	NULL	NULL	NA	NULL	NULL	apre	NULL	da	als	wen	waato	ɩlɛna	tion	kui	esi	sanottuaan	après	NULL	tra	NULL	NULL	ειπων	ય	कहकर	NULL	NULL	setelah	er	NULL	lahwi	NULL	NULL	mi	ora	NULL	NULL	NULL	NULL	tej	no	NULL	NULL	जब	ijcuac	nadat	da	NULL	NULL	چون	rehefa	NULL	tendo	NA	oti	aretak	caita	kana	după	сказав	llig	keď	ko	wakati	goortuu	después	NULL	NULL	sedan	ܘܟܕ	ప	nang	เม	NA	NULL	NULL	cuando	yesuusi	bi	NULL	NULL
b.LUK.19.29a	when	NULL	toe	koro	si	quia	NULL	երբ	NULL	NULL	когато	tek	NULL	anae	NULL	mɨ	NULL	ѣко	NA	NULL	NULL	lè	když	da	als	wen	waato	ɩlɛna	kiam	kui	esi	kun	lorsqu	NULL	tra	biþe	ὡς	ως	ય	जब	kad	mikor	ketika	þegar	quando	hayet	NULL	NULL	mi	NA	때에	cum	kad	NULL	atzaj	no	ह	အခ	NULL	ijcuac	toen	da	ᐊᐲ	NULL	چون	raha	gdy	NULL	NA	NULL	NULL	NULL	kana	cînd	когда	NULL	keď	ko	NULL	NULL	que	kad	NULL	när	ܘܟܕ	నప	nang	NULL	NA	NULL	як	NULL	wode	bi	NULL	kwathi
b.LUK.19.37a	when	jesúsjai	toe	tai	kur	quia	ولما	երբ	NULL	na	когато	tek	NULL	anae	候	mɨ	ꮎꭵꮓ	же	NA	NULL	NULL	lè	když	da	da	te	NULL	kɔma	kiam	kui	esi	kun	lorsque	NULL	tra	NULL	δὲ	οτε	NULL	जब	kad	mikor	ketika	þegar	quando	hayet	NULL	NULL	mi	ora	NULL	cum	kad	NULL	tej	NULL	व	အခ	ल	ijcuac	NA	da	ᐊᐲ	huan	چون	rehefa	gdy	quando	NA	NULL	NULL	NULL	kana	cînd	когда	llig	keď	ko	NULL	goortuu	cuando	kad	NULL	då	ܘܟܕ	నప	nang	เม	NA	NULL	коли	cuando	NULL	bi	kaloku	NULL
b.LUK.19.41a	when	NULL	toe	sara	kur	NULL	وفيما	երբ	ikussiric	NULL	като	tek	na	anae	NULL	mɨ	ꮎꭵꮓ	ѣко	NA	ari	NULL	lè	když	da	als	wen	NULL	ɩlɛna	kiam	kui	esi	kun	comme	orasi	tra	NULL	ὡς	οτε	ય	जब	kad	mikor	ketika	er	quando	yet	NULL	NULL	mi	ora	NULL	videns	NULL	NULL	teˈ	no	ह	NULL	ल	ijcuac	zodra	da	ᐊᐲ	NULL	چون	raha	gdy	quando	NA	NULL	aretak	NULL	kana	cînd	когда	llig	keď	ko	wakati	markuu	cuando	kad	NULL	då	ܘܟܕ	నప	nang	คร	NA	görünce	як	cuando	wode	bi	NULL	kwathi
b.LUK.20.13a	when	NULL	as	NULL	duke	quia	اذا	NULL	NULL	NULL	NULL	tek	NULL	NULL	NULL	mɨ	NULL	видѣвъше	NA	ari	NULL	NULL	když	NULL	wenn	te	NULL	wei	NULL	NULL	NULL	NULL	NULL	NULL	tra	gasaiƕandans	NULL	ιδοντες	ય	NULL	NULL	ha	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	cum	NULL	pamatę	NULL	NULL	NULL	NULL	NULL	ijcuac	NULL	NULL	NULL	a	چون	NULL	gdy	NULL	NA	NULL	aretak	NULL	NULL	NULL	NULL	NULL	keď	ko	NULL	NULL	NULL	kad	NULL	NULL	NULL	NULL	NULL	เม	NA	NULL	побачивши	NULL	NULL	NULL	NULL	NULL
b.LUK.20.14a	when	NULL	toe	tai	kur	quia	فلما	երբ	NULL	acõari	като	xu	NULL	anae	NULL	mɨ	NULL	видѣвъше	NA	NULL	NULL	lè	NULL	da	da	te	waato	ɩlɛna	kiam	kui	esi	kun	quand	NULL	tra	þan	ἰδόντες	ιδοντες	પછ	जब	kada	mikor	ketika	er	quando	hayet	ところが	NULL	mi	orna	NULL	cum	kad	išvydę	atzaj	no	ह	NULL	जब	ijcuac	toen	da	ᐊᐲ	NULL	چون	raha	NULL	quando	NA	NULL	aretak	NULL	kana	cînd	NULL	llig	keď	ko	vakati	goortay	NULL	NULL	NULL	när	ܟܕ	NULL	nang	NULL	NA	NULL	NULL	cuando	NULL	bi	bathe	NULL
b.LUK.20.16a	when	jesús	toe	tai	kur	jnda	فلما	NULL	çutenean	NULL	като	tek	NULL	anae	見	mɨ	ꮎꮝꭹꮓ	NULL	NA	ari	NULL	lè	NULL	da	da	wen	kaŋ	ɩlɛna	NULL	NULL	NULL	NULL	lorsqu	orasi	tra	NULL	NULL	NULL	NULL	NULL	NULL	mikor	NULL	þegar	NULL	hayet	NULL	NULL	mi	ora	NULL	quo	NULL	NULL	tej	ka	व	သ	ल	ijcuac	NULL	da	NULL	NULL	چون	raha	NULL	ouvindo	NA	kara	aretak	NULL	kana	cînd	NULL	llig	keď	ko	zvino	goortay	cuando	a	NULL	när	ܟܕ	NULL	nang	NULL	NA	NULL	NULL	cuando	hegaa	bi	ke	NULL
b.LUK.20.37a	when	NULL	NULL	NULL	kur	NULL	NULL	NULL	NULL	na	когато	NULL	NULL	anae	NULL	ie	ꮎꭿᏻ	NULL	NA	NULL	NULL	lè	když	når	da	ɣɔn	kaŋ	tɛ	kiam	NULL	esi	kun	quand	orasi	tra	swe	ὡς	οτε	ર	NULL	kad	mikor	NULL	er	quando	NULL	NULL	NULL	mi	chents	NULL	NULL	to	NULL	tej	i	ह	အခ	NULL	ijcuac	als	når	NULL	laiin	NULL	raha	gdy	quando	NA	NULL	NULL	imahoras	kana	cînd	когда	NULL	keď	ko	NULL	markuu	cuando	NULL	NULL	när	ܟܕ	NULL	nang	NULL	NA	NULL	як	cuando	NULL	bi	xenikweni	lapho
b.LUK.21.7a	when	NULL	wanneer	tai	kur	NULL	متى	րբ	noiz	NULL	кога	NULL	kanus	ngaean	NULL	mɨ	NULL	когда	NA	NULL	ⲁⲣⲉ	NULL	kdy	når	wann	NULL	cine	NULL	kiam	NULL	NULL	milloin	quand	nakoso	cuin	NA	πότε	ποτε	NULL	जब	kada	mikor	itu	hvenær	quando	NULL	NULL	NULL	melmi	ntseco	때에	quando	kad	kada	NULL	NULL	NULL	သ	NULL	quemanon	NULL	når	ᐊᐲ	chiangin	NULL	rahoviana	NULL	quando	NA	nto	jampaˈ	imahorasta	kana	cînd	когда	managu	kedy	kdaj	zvino	goormay	cuándo	kad	lini	när	ܐܡܬܝ	NULL	kailan	NULL	NA	NULL	коли	or	NULL	kañ	nini	NULL
b.LUK.21.7b	when	NULL	wanneer	tai	kur	NULL	متى	րբ	noiz	NULL	кога	NULL	kanus	ngaean	NULL	mɨ	NULL	когда	NA	NULL	ⲁⲣⲉ	NULL	kdy	når	wann	NULL	cine	NULL	kiam	NULL	NULL	milloin	quand	nakoso	cuin	NA	πότε	ποτε	NULL	जब	kada	mikor	itu	hvenær	quando	NULL	NULL	NULL	melmi	ntseco	때에	quando	kad	kada	NULL	NULL	NULL	သ	NULL	quemanon	NULL	når	ᐊᐲ	chiangin	NULL	rahoviana	NULL	quando	NA	nto	jampaˈ	imahorasta	kana	cînd	когда	managu	kedy	kdaj	zvino	goormay	cuándo	kad	lini	när	ܐܡܬܝ	NULL	kailan	NULL	NA	NULL	коли	or	NULL	kañ	nini	NULL
b.LUK.21.9a	when	NULL	wanneer	tai	kur	quia	NULL	երբ	NULL	ajicõari	когато	tek	NULL	yanguin	NULL	NULL	NULL	егда	NA	NULL	ϩⲟⲧⲁⲛ	lè	když	når	wenn	te	waati	kɔma	kiam	kui	ne	kun	quand	orasi	tra	NA	ὅταν	οταν	ય	जब	kad	mikor	kalau	þegar	quando	hayet	NULL	NULL	m	NULL	때에	cum	kad	kai	ajtzin	NULL	व	NULL	जब	ijcuac	wanneer	når	NULL	chiang	چون	raha	gdy	quando	NA	me	aretak	NULL	kana	cînd	когда	ig	keď	kadar	kana	markaad	cuando	kad	NULL	när	ܘܡܐ	ప	pagka	เม	NA	duyunca	NULL	cuando	wode	bu	xa	nxa
b.LUK.21.20a	when	NULL	wanneer	tai	kur	quia	ومتى	երբ	ikus	NULL	когато	tek	diha	anae	NULL	mɨ	NULL	егда	NA	ari	ϩⲟⲧⲁⲛ	lè	když	når	wenn	na	waati	kɔma	kiam	kui	nenye	kun	lorsque	de	tra	NA	ὅταν	οταν	ય	जब	kad	mikor	apabila	þegar	quando	hayet	NULL	NULL	m	ora	NULL	cum	kad	kai	ajtzin	NULL	आल	အခ	ल	ijcuac	als	når	ᐊᐲ	chiang	چون	raha	gdy	quando	NA	ane	aretak	NULL	kana	cînd	когда	NULL	keď	kadar	kana	goortaad	cuando	kad	NULL	när	ܡܐ	నప	pagka	เม	NA	NULL	як	cuando	wode	bu	xa	nxa
